scenario,scheme,rocof,dfmax,settling,bess_throughput_kWh,pinj_p2p_steady_kW,soc_end
s2_cloud_passing,C0_no_vic,1.326155712066991,2.8321694450180814,NaN,0.0,0.0,0.6
s2_cloud_passing,C1_const_vic,0.2718053017265729,0.21023500530284167,0.498,0.08403922458857967,5.535168686765246e-5,0.6004271592578574
s2_cloud_passing,C2_fuzzy_vic,0.2567702445570317,0.1814011109360294,0.4781500000000001,0.0780875495262318,1.1050109984353184e-5,0.6004118384157944
s2_cloud_passing,C3_adapt_vic,0.24132690171825266,0.16704354257071685,0.4598500000000001,0.07423026513807034,7.774811674607918e-7,0.6003971546172272
s2_cloud_passing,C4_proposed,0.43587514436715896,0.2693343672853885,0.5623,0.11156164487024726,0.0008986030253290664,0.6006887900978223
s4_high_ibr,C0_no_vic,4.491385469199255,1.2919673164071312,NaN,0.0,0.0,0.6
s4_high_ibr,C1_const_vic,0.1257804730015265,0.023550904342933165,0.0,0.01572719627465933,2.9103830456733704e-14,0.599795867678297
s4_high_ibr,C2_fuzzy_vic,0.1345532702966067,0.023237622398099234,0.0,0.015553648807561188,2.9103830456733704e-14,0.5997991406734924
s4_high_ibr,C3_adapt_vic,0.12485717885105874,0.02294145595163144,0.0,0.015395541829724,2.9103830456733704e-14,0.5998022264863484
s4_high_ibr,C4_proposed,0.5200739469032096,0.07166839172442252,0.01100000000000012,0.04681894580747871,4.121406434569508e-5,0.5993871582100709
s5_weak_grid,C0_no_vic,0.7857768319580309,1.527215068466134,4.97465,0.0,0.0,0.6
s5_weak_grid,C1_const_vic,0.026578868992714864,0.006456553055173231,0.0,0.0033283884667400557,0.0,0.6000631915606955
s5_weak_grid,C2_fuzzy_vic,0.025968064126118382,0.006265314793360233,0.0,0.003325891493902149,0.0,0.6000631330085587
s5_weak_grid,C3_adapt_vic,0.02553827310521226,0.006094676413304967,0.0,0.0033253145555918054,0.0,0.6000631212989768
s5_weak_grid,C4_proposed,0.29502878759039647,0.06986917510270274,0.0484,0.009532968258070831,0.0,0.6001761642822375
s1_normal,C0_no_vic,0.2884858420978273,0.4135790510716859,0.03180000000000005,0.0,0.0,0.6
s1_normal,C1_const_vic,0.06473467913636449,0.02108539887266403,0.0,0.010177095774828235,5.802071585363651,0.599808866641693
s1_normal,C2_fuzzy_vic,0.0644701738527686,0.021149282442671336,0.0,0.010036956899631829,5.7044801747722955,0.5998118407699163
s1_normal,C3_adapt_vic,0.0659783305930261,0.021041579755603834,0.0,0.00989999442729732,5.670239141420068,0.5998146993065909
s1_normal,C4_proposed,0.20977437996833695,0.05894914104697335,0.0,0.03121200660516947,6.234991078963503e-5,0.599368254451805
s3_freq_event,C0_no_vic,0.5219843303120792,0.5109825281600848,0.6699999999999999,0.0,0.0,0.6
s3_freq_event,C1_const_vic,0.07673387552465265,0.02292106292244256,0.0,0.015457591121008583,1.4551915228366852e-14,0.5998089505928247
s3_freq_event,C2_fuzzy_vic,0.07632496679867977,0.022631958621062154,0.0,0.015308718299034829,1.4551915228366852e-14,0.5998120851196777
s3_freq_event,C3_adapt_vic,0.07603238085884804,0.02235786451645083,0.0,0.015168502962375223,0.0,0.5998150373648318
s3_freq_event,C4_proposed,0.34997813853607307,0.06799786505125383,0.031099999999999905,0.04317559397646556,8.625508172553965e-5,0.5994281404743991
s6_madiun_subday,C0_no_vic,0.673110957674216,6.6674152049397435,NaN,0.0,0.0,0.6
s6_madiun_subday,C1_const_vic,0.07206523737011036,0.21604265269888856,2.6668499999999966,6.8065364276953835,0.0,0.7180330776612174
s6_madiun_subday,C2_fuzzy_vic,0.05426770783067448,0.18458720575163312,2.6250500000000017,6.329685900155318,7.275957614183426e-15,0.7095042500469229
s6_madiun_subday,C3_adapt_vic,0.04864180525323933,0.16948941415428465,2.577150000000003,6.067588487533097,0.0,0.7049437086154209
s6_madiun_subday,C4_proposed,0.06468194462513474,0.3213061895657461,3.215600000000002,7.93010542839771,0.0013299923586309887,0.7309577329209506
s6_madiun_cerah,C0_no_vic,0.18211357231898004,14.044148617100802,11.089200000000005,0.0,0.0,0.6
s6_madiun_cerah,C1_const_vic,0.009009773033100089,1.226846279456808,4.435249999999996,2.300164566358648,4.620282299088307,0.5737011173084448
s6_madiun_cerah,C2_fuzzy_vic,0.008229790085892332,0.451956157082229,4.257949999999994,2.164345918005601,4.647664846856489,0.5765604686421316
s6_madiun_cerah,C3_adapt_vic,0.0077654929422270565,0.4153745829067219,4.074150000000003,2.0997163955052844,4.662429108533419,0.5779210981020252
s6_madiun_cerah,C4_proposed,0.011205491297872709,0.8002849228494,8.415850000000006,2.7383082985486027,4.63464949531298,0.570049486133408
s6_madiun_berawan,C0_no_vic,0.1658656514081945,14.04414864166258,12.985600000000005,0.0,0.0,0.6
s6_madiun_berawan,C1_const_vic,0.00741749014380833,1.226846279456808,5.188749999999999,2.1494062024520493,4.620282299088307,0.568755854022407
s6_madiun_berawan,C2_fuzzy_vic,0.006741346080403237,0.451956157082229,4.978099999999998,2.0091981646296606,4.647664846856489,0.5717076135554663
s6_madiun_berawan,C3_adapt_vic,0.00632267223672036,0.4153745829067219,4.763000000000005,1.9420782667749228,4.662429108533419,0.5731206719702082
s6_madiun_berawan,C4_proposed,0.009003029766532094,0.7565589000240891,9.994100000000003,2.639198705709238,4.635488427223521,0.565423856087673
s6_madiun_hujan,C0_no_vic,0.15928454360228045,14.044148643805144,13.3159,0.0,0.0,0.6
s6_madiun_hujan,C1_const_vic,0.006058432003612693,1.226846279456808,3.8528499999999966,2.167506242975913,4.620282299088307,0.5680511848670344
s6_madiun_hujan,C2_fuzzy_vic,0.005619813525470283,0.451956157082229,3.5902499999999975,2.02489307051964,4.647664846856489,0.5710535788131542
s6_madiun_hujan,C3_adapt_vic,0.005319706746149602,0.4153745829067219,3.3235499999999973,1.9565666241448691,4.662429108533419,0.5724920382491583
s6_madiun_hujan,C4_proposed,0.0081089434834779,0.7444842114002768,9.897199999999998,2.6451163591295956,4.635735719396042,0.5640491636477976
s6_madiun_cerah_p10,C0_no_vic,0.18562798296016772,14.044148645433943,11.3416,0.0,0.0,0.6
s6_madiun_cerah_p10,C1_const_vic,0.008318151583139748,1.226846279456808,4.1875,2.2574704734246716,4.620282299088307,0.5694675647164232
s6_madiun_cerah_p10,C2_fuzzy_vic,0.007629658416732246,0.451956157082229,3.994950000000003,2.113643944578777,4.647664846856489,0.5724955030078805
s6_madiun_cerah_p10,C3_adapt_vic,0.007190591375873976,0.4153745829067219,3.7981499999999997,2.0446461871609936,4.662429108533419,0.5739480953081303
s6_madiun_cerah_p10,C4_proposed,0.010221152717022473,0.7569116225482446,8.546350000000004,2.717288337228921,4.635481315413854,0.5654633145723359
s6_madiun_cerah_p90,C0_no_vic,0.24111844874823532,14.044148621976099,7.879800000000003,0.0,0.0,0.6
s6_madiun_cerah_p90,C1_const_vic,0.009573328677774249,1.226846279456808,1.6830500000000015,2.403278048928755,4.620282299088307,0.5772370101581692
s6_madiun_cerah_p90,C2_fuzzy_vic,0.008970277847453063,0.451956157082229,1.5187999999999988,2.269956953303746,4.647664846856489,0.5800437814344389
s6_madiun_cerah_p90,C3_adapt_vic,0.008535344666711232,0.4153745829067219,1.3479000000000028,2.2070716098587826,4.662429108533419,0.5813676913352881
s6_madiun_cerah_p90,C4_proposed,0.013249200509122072,0.8354069299147042,5.340050000000005,2.7979871358361894,4.634027908416494,0.5734394811437937
s6_madiun_berawan_p10,C0_no_vic,0.09967214486913037,14.044148645618947,19.2877,0.0,0.0,0.6
s6_madiun_berawan_p10,C1_const_vic,0.005706493991652825,1.226846279456808,10.269499999999994,2.108835490265794,4.620282299088307,0.5628964246072631
s6_madiun_berawan_p10,C2_fuzzy_vic,0.005099811711417528,0.451956157082229,9.998000000000005,1.9587841090990101,4.647664846856489,0.5660554124212477
s6_madiun_berawan_p10,C3_adapt_vic,0.004783019900074169,0.4153745829067219,9.710899999999995,1.885794888717035,4.662429108533419,0.5675920355207589
s6_madiun_berawan_p10,C4_proposed,0.006925455556014883,0.6927366030632598,16.00645,2.596229715456867,4.636894012137258,0.5575409935707935
s6_madiun_berawan_p90,C0_no_vic,0.18213824517253582,14.044147422270221,10.121099999999998,0.0,0.0,0.6
s6_madiun_berawan_p90,C1_const_vic,0.010867064655641757,1.226846279456808,4.490099999999998,2.391878512917556,4.620282299088307,0.5752991706314174
s6_madiun_berawan_p90,C2_fuzzy_vic,0.009810821854969592,0.451956157082229,4.342950000000002,2.25597966578986,4.647664846856489,0.5781602103603566
s6_madiun_berawan_p90,C3_adapt_vic,0.009222114311455566,0.4153745829067219,4.188550000000006,2.190899778120663,4.662429108533419,0.5795303211922469
s6_madiun_berawan_p90,C4_proposed,0.013164689612707815,0.814044656390216,7.726399999999998,2.8106755112299204,4.634401135447333,0.571407751782255
s6_madiun_hujan_p10,C0_no_vic,0.1383598118449905,14.044148631307365,14.814999999999998,0.0,0.0,0.6
s6_madiun_hujan_p10,C1_const_vic,0.006696112067387976,1.226846279456808,6.6886499999999955,2.2688618776785585,4.620282299088307,0.559692861828563
s6_madiun_hujan_p10,C2_fuzzy_vic,0.006056425640821231,0.451956157082229,6.449650000000005,2.102340456226647,4.647664846856489,0.5631985873327691
s6_madiun_hujan_p10,C3_adapt_vic,0.0056822216080831016,0.4153745829067219,6.205600000000004,2.0205390013993565,4.662429108533419,0.564920731157456
s6_madiun_hujan_p10,C4_proposed,0.008157334878404638,0.6689872951256177,11.893900000000002,2.7423982559720286,4.637491438200967,0.5541387694457338
s6_madiun_hujan_p90,C0_no_vic,0.21564810318942002,14.044148625271404,9.144649999999999,0.0,0.0,0.6
s6_madiun_hujan_p90,C1_const_vic,0.009440957097623803,1.226846279456808,2.81785,2.318614213261185,4.620282299088307,0.5729147175507605
s6_madiun_hujan_p90,C2_fuzzy_vic,0.0087503664616405,0.451956157082229,2.6497499999999974,2.1799964704990473,4.647664846856489,0.5758329971878049
s6_madiun_hujan_p90,C3_adapt_vic,0.008291626230629727,0.4153745829067219,2.475999999999999,2.1138150371001614,4.662429108533419,0.5772262984560854
s6_madiun_hujan_p90,C4_proposed,0.012396645697520903,0.7907641613149252,6.5706500000000005,2.7552223838076135,4.63482538147299,0.5690845205843075
s6_madiun_cerah_cont,C0_no_vic,1.1572056984433434,15.15483694940579,NaN,0.0,0.0,0.6
s6_madiun_cerah_cont,C1_const_vic,0.9379689857681761,1.4565491877313335,NaN,2.327449775770157,4.57907362246223,0.573126638700782
s6_madiun_cerah_cont,C2_fuzzy_vic,0.3892908275178763,0.49409798027373597,NaN,2.199331637318154,4.6370680270619635,0.5758238833939301
s6_madiun_cerah_cont,C3_adapt_vic,0.4528176533632946,0.4654280937610977,NaN,2.139286682995045,4.657314084194921,0.5770879994704502
s6_madiun_cerah_cont,C4_proposed,1.100661341126346,1.7375803071251923,NaN,2.7658422779144263,4.63423514811293,0.569469792685419
s6_madiun_berawan_cont,C0_no_vic,1.1572056983744208,15.154836949409287,NaN,0.0,0.0,0.6
s6_madiun_berawan_cont,C1_const_vic,0.9379689857681761,1.4565491877313335,NaN,2.1766914118635583,4.57907362246223,0.5681813754147442
s6_madiun_berawan_cont,C2_fuzzy_vic,0.3892908275178763,0.49409798027373597,NaN,2.044183883942214,4.6370680270619635,0.5709710283072648
s6_madiun_berawan_cont,C3_adapt_vic,0.4528176533632946,0.4654280937610977,NaN,1.9816485542646838,4.657314084194921,0.5722875733386332
s6_madiun_berawan_cont,C4_proposed,1.0866727203735755,1.6663377711693101,NaN,2.6671404606107707,4.635171755443742,0.5648355778965722
s6_madiun_hujan_cont,C0_no_vic,1.1572056983686654,15.15483694940962,NaN,0.0,0.0,0.6
s6_madiun_hujan_cont,C1_const_vic,0.9379689857681761,1.4565491877313335,NaN,2.1947914523874226,4.57907362246223,0.5674767062593716
s6_madiun_hujan_cont,C2_fuzzy_vic,0.3892908275178763,0.49409798027373597,NaN,2.0598787898321924,4.6370680270619635,0.5703169935649527
s6_madiun_hujan_cont,C3_adapt_vic,0.4528176533632946,0.4654280937610977,NaN,1.99613691163463,4.657314084194921,0.5716589396175833
s6_madiun_hujan_cont,C4_proposed,1.0823207658108107,1.6452418152710209,NaN,2.673163611256192,4.63544788632782,0.5634586644642138
